variant,line_index,line,model,sample_rate,audio_seconds,synth_seconds,dsp_seconds,total_before_playback_seconds,file
a_dsp,1,Affirmative. All systems nominal. Awaiting your command.,/Users/davidmar/src/voice-calendar-scheduler-FSM/engine-repo/models/en_US-lessac-medium.onnx,22050,3.46,0.5004,0.004,0.5044,results/01-affirmative-all-systems-nominal-awaiting-y-a_dsp.wav
b_vocoder,1,Affirmative. All systems nominal. Awaiting your command.,/Users/davidmar/src/voice-calendar-scheduler-FSM/engine-repo/models/en_US-lessac-medium.onnx,22050,3.46,0.5004,0.0368,0.5371,results/01-affirmative-all-systems-nominal-awaiting-y-b_vocoder.wav
c_light,1,Affirmative. All systems nominal. Awaiting your command.,/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-lessac-high.onnx,22050,3.553,0.8885,0.0027,0.8913,results/01-affirmative-all-systems-nominal-awaiting-y-c_light.wav
d_hybrid,1,Affirmative. All systems nominal. Awaiting your command.,/Users/davidmar/src/voice-calendar-scheduler-FSM/engine-repo/models/en_US-lessac-medium.onnx,22050,3.46,0.5004,0.0436,0.544,results/01-affirmative-all-systems-nominal-awaiting-y-d_hybrid.wav
a_dsp,2,I am a synthetic intelligence. State your designation.,/Users/davidmar/src/voice-calendar-scheduler-FSM/engine-repo/models/en_US-lessac-medium.onnx,22050,2.995,0.4973,0.0032,0.5006,results/02-i-am-a-synthetic-intelligence-state-your-d-a_dsp.wav
b_vocoder,2,I am a synthetic intelligence. State your designation.,/Users/davidmar/src/voice-calendar-scheduler-FSM/engine-repo/models/en_US-lessac-medium.onnx,22050,2.995,0.4973,0.0274,0.5248,results/02-i-am-a-synthetic-intelligence-state-your-d-b_vocoder.wav
c_light,2,I am a synthetic intelligence. State your designation.,/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-lessac-high.onnx,22050,2.914,0.8175,0.0022,0.8197,results/02-i-am-a-synthetic-intelligence-state-your-d-c_light.wav
d_hybrid,2,I am a synthetic intelligence. State your designation.,/Users/davidmar/src/voice-calendar-scheduler-FSM/engine-repo/models/en_US-lessac-medium.onnx,22050,2.995,0.4973,0.0322,0.5296,results/02-i-am-a-synthetic-intelligence-state-your-d-d_hybrid.wav
a_dsp,3,Directive seven one four acknowledged. Power cell at forty two percent.,/Users/davidmar/src/voice-calendar-scheduler-FSM/engine-repo/models/en_US-lessac-medium.onnx,22050,3.82,0.52,0.0046,0.5246,results/03-directive-seven-one-four-acknowledged-powe-a_dsp.wav
b_vocoder,3,Directive seven one four acknowledged. Power cell at forty two percent.,/Users/davidmar/src/voice-calendar-scheduler-FSM/engine-repo/models/en_US-lessac-medium.onnx,22050,3.82,0.52,0.0332,0.5532,results/03-directive-seven-one-four-acknowledged-powe-b_vocoder.wav
c_light,3,Directive seven one four acknowledged. Power cell at forty two percent.,/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-lessac-high.onnx,22050,3.855,0.9392,0.0031,0.9423,results/03-directive-seven-one-four-acknowledged-powe-c_light.wav
d_hybrid,3,Directive seven one four acknowledged. Power cell at forty two percent.,/Users/davidmar/src/voice-calendar-scheduler-FSM/engine-repo/models/en_US-lessac-medium.onnx,22050,3.82,0.52,0.0479,0.5679,results/03-directive-seven-one-four-acknowledged-powe-d_hybrid.wav
a_dsp,4,"I do not experience fear, but I recognize the urgency of your request.",/Users/davidmar/src/voice-calendar-scheduler-FSM/engine-repo/models/en_US-lessac-medium.onnx,22050,4.586,0.5246,0.005,0.5296,results/04-i-do-not-experience-fear-but-i-recognize-t-a_dsp.wav
b_vocoder,4,"I do not experience fear, but I recognize the urgency of your request.",/Users/davidmar/src/voice-calendar-scheduler-FSM/engine-repo/models/en_US-lessac-medium.onnx,22050,4.586,0.5246,0.0504,0.5749,results/04-i-do-not-experience-fear-but-i-recognize-t-b_vocoder.wav
c_light,4,"I do not experience fear, but I recognize the urgency of your request.",/Users/davidmar/src/phone-agent-scheduler/models/piper/en_US-lessac-high.onnx,22050,4.377,1.0093,0.0034,1.0128,results/04-i-do-not-experience-fear-but-i-recognize-t-c_light.wav
d_hybrid,4,"I do not experience fear, but I recognize the urgency of your request.",/Users/davidmar/src/voice-calendar-scheduler-FSM/engine-repo/models/en_US-lessac-medium.onnx,22050,4.586,0.5246,0.0625,0.587,results/04-i-do-not-experience-fear-but-i-recognize-t-d_hybrid.wav
